K	ADVFM_AVG	ADVFM_in	ADVFM_on	ADVFM_near	ADVFM_behind	FM	PT	ID
 0	58.7875	32.81	18.75	88.28	95.31	83.44	81.56	0337
 0	58.79	17.97	28.12	91.41	97.66	84.06	81.56	0590
 0	58.9825	27.34	21.09	91.41	96.09	86.56	79.69	0544
 0	58.9825	75.00	70.31	39.84	50.78	66.88	80.31	0472
 0	58.985	21.09	26.56	91.41	96.88	83.75	80.62	0635
 0	58.985	21.88	61.72	68.75	83.59	76.56	80.62	0160
 0	58.985	71.88	80.47	40.62	42.97	66.88	78.44	0869
 0	58.9875	23.44	17.19	97.66	97.66	89.06	79.69	0454
 0	59.1775	14.06	37.50	89.06	96.09	85.62	81.56	0562
 0	59.18	28.91	48.44	70.31	89.06	81.56	78.75	0599
 0	59.18	84.38	82.03	36.72	33.59	62.81	80.62	0069
 0	59.3725	62.50	46.09	52.34	76.56	72.19	76.25	0823
 0	59.3775	21.88	29.69	91.41	94.53	85.62	75.31	0471
 0	59.57	24.22	32.81	86.72	94.53	83.44	77.81	0111
 0	59.5725	17.19	30.47	92.97	97.66	85	80.31	0634
 0	59.57	4.69	45.31	92.19	96.09	85	82.5	0726
 0	59.765	15.62	26.56	97.66	99.22	91.56	77.19	0266
 0	59.765	15.62	31.25	95.31	96.88	89.06	78.12	0065
 0	59.765	31.25	35.16	82.81	89.84	84.69	77.19	0595
 0	59.765	39.06	26.56	78.91	94.53	82.5	78.44	0198
 0	59.765	45.31	27.34	74.22	92.19	83.75	77.5	0368
 0	59.7675	86.72	85.16	32.03	35.16	59.69	82.5	0594
 0	59.96	15.62	34.38	95.31	94.53	88.12	78.12	0117
 0	59.9625	18.75	29.69	92.19	99.22	85.94	80.62	0254
 0	59.96	53.12	78.12	49.22	59.38	64.38	79.06	0821
 0	59.96	62.50	32.03	53.12	92.19	72.81	74.69	0880
 0	59.96	64.84	82.03	42.97	50.00	63.75	79.06	0917
 0	59.96	77.34	86.72	33.59	42.19	57.5	78.44	0419
 0	59.96	90.62	77.34	28.91	42.97	60	74.69	0878
 0	60.155	40.62	70.31	53.91	75.78	70.62	75.94	0742
 0	60.155	53.12	51.56	56.25	79.69	73.12	82.19	0163
 0	60.1575	37.50	73.44	60.94	68.75	69.38	79.69	0559
 0	60.1575	75.78	80.47	28.91	55.47	63.44	83.44	0331
 0	60.3525	16.41	32.81	94.53	97.66	86.25	79.69	0549
 0	60.3525	17.97	42.19	86.72	94.53	86.56	81.88	0386
 0	60.3525	2.34	42.97	97.66	98.44	88.12	78.44	0175
 0	60.3525	31.25	30.47	84.38	95.31	85.62	78.75	0774
 0	60.3525	80.47	85.94	32.81	42.19	58.44	76.56	0629
 0	60.35	28.91	28.12	89.84	94.53	85.31	81.25	0713
 0	60.35	33.59	31.25	80.47	96.09	86.56	79.38	0214
 0	60.355	16.41	28.91	96.88	99.22	87.5	75.94	0445
 0	60.545	63.28	79.69	46.09	53.12	63.75	79.69	0180
 0	60.5475	17.19	37.50	93.75	93.75	90.62	82.81	0105
 0	60.5475	22.66	36.72	89.06	93.75	80.94	79.06	0839
 0	60.5475	60.16	70.31	52.34	59.38	70.94	84.38	0960
 0	60.7425	12.50	54.69	85.16	90.62	82.81	84.38	0125
 0	60.7425	23.44	50.78	81.25	87.50	85.62	81.56	0919
 0	60.7425	73.44	60.16	43.75	65.62	67.5	76.88	0942
 0	60.745	28.91	29.69	91.41	92.97	82.81	81.56	0704
 0	60.74	70.31	76.56	50.78	45.31	66.56	78.75	0970
 0	60.9375	2.34	67.97	87.50	85.94	80	80	0636
 0	60.9375	32.81	46.88	78.12	85.94	76.88	78.12	0732
 0	60.9375	36.72	39.06	74.22	93.75	82.19	79.06	0850
 0	60.9375	46.09	68.75	57.03	71.88	76.25	82.19	0514
 0	60.9375	79.69	57.03	42.19	64.84	71.88	80.94	0755
 0	60.94	30.47	28.91	92.97	91.41	85	79.38	0041
 0	61.1325	19.53	44.53	92.19	88.28	90	80.94	0270
 0	61.135	6.25	48.44	91.41	98.44	87.81	83.44	0971
 0	61.3275	19.53	38.28	92.19	95.31	83.44	83.75	0891
