K	ADVFM	FM	PT	ID
 64	82.124	78.062	66.936	0233
 64	82.128	72.314	68.376	0722
 64	82.184	73.128	69.376	0059
 64	82.188	78.314	68	0030
 64	82.188	82.624	69.126	0750
 64	82.248	78.498	69.188	0798
 64	82.252	73.376	65.312	0108
 64	82.25	79.374	67.312	0571
 64	82.314	77.562	68.124	0719
 64	82.314	79.562	69.062	0000
 64	82.436	72.812	69.314	0754
 64	82.436	78.498	69.376	0216
 64	82.438	71.498	69.436	0252
 64	82.502	80.75	68.186	0489
 64	82.502	82.5	68.126	0403
 64	82.562	71.25	69.624	0324
 64	82.562	78.938	68.626	0266
 64	82.564	77.314	69.188	0561
 64	82.564	81.372	70.124	0745
 64	82.564	83.066	68.686	0730
 64	82.5	83.25	68.686	0202
 64	82.624	78.938	70.75	0479
 64	82.626	70.438	69.25	0006
 64	82.688	79.188	68.75	0820
 64	82.688	83.312	70.874	0190
 64	82	69.938	68.062	0859
 64	82	73.252	68.938	0617
 64	82.748	82.252	68.936	0179
 64	82	75.062	68.874	0807
 64	82.752	79.938	67.814	0323
 64	82.812	73.938	71.56	0834
 64	82.812	78.124	70.064	0208
 64	82.812	81.436	67.186	0873
 64	82.872	81.064	69.812	0116
 64	82.936	68.502	70.5	0418
 64	83.062	74.562	68.438	0610
 64	83.124	68.938	69.626	0257
 64	83.186	79.812	71.75	0567
 64	83.188	77.814	68.374	0446
 64	83.188	78.438	69.938	0042
 64	83.188	79	70	0019
 64	83.192	65.186	71.686	0562
 64	83.25	77.062	70.69	0225
 64	83.25	78.062	69.186	0186
 64	83.25	81.688	67.626	0382
 64	83.312	79.498	68.938	0303
 64	83.374	67.002	70.688	0222
 64	83.374	78.19	69.498	0751
 64	83.376	76.312	69.688	0799
 64	83.376	77.686	68.5	0657
 64	83.376	83.814	69.69	0261
 64	83.436	78.75	68.374	0364
 64	83.44	78.564	70.372	0372
 64	83.502	72.376	69.06	0733
 64	83.502	76.94	73.002	0083
 64	83.562	66.626	70.938	0203
 64	83.562	77.062	71.062	0534
 64	83.562	80.938	70.062	0642
 64	83.562	82.562	67.5	0542
 64	83.564	78.062	67.314	0467
 64	83.564	83.188	69.626	0004
 64	83.56	72.124	69.688	0218
 64	83.624	83	68.814	0865
 64	83.626	68.5	68.814	0012
 64	83.626	78.188	68.186	0023
 64	83.686	76.128	68.566	0810
 64	83.686	76	68.748	0522
 64	83.688	76.748	68.186	0069
 64	83.688	80.5	69.938	0314
 64	83.748	79.936	66.874	0488
 64	83.75	75.122	71.064	0102
 64	83.75	82.686	69.372	0852
 64	83	78.75	67.374	0629
 64	83	79.938	68.69	0164
 64	83.814	75.188	69.186	0215
 64	83.814	82.562	69.94	0669
 64	83.874	65.94	69.69	0312
 64	83.874	80.44	68	0785
 64	83.874	80.624	68.498	0358
 64	83.876	77.5	71.938	0586
 64	83.998	81.186	66.936	0106
 64	84.002	77.248	68.502	0761
 64	84.002	82	69.248	0814
 64	84.002	83.064	68.376	0658
 64	84.062	74.75	69.434	0390
 64	84.062	83.062	69.624	0404
 64	84.124	64.562	72.688	0463
 64	84.126	70	70.188	0088
 64	84.126	75.31	69.936	0035
 64	84.126	82.186	69.686	0077
 64	84.188	69.5	71.75	0580
 64	84.19	73.876	69.81	0018
 64	84.19	77.438	71	0188
 64	84.248	70.252	72.502	0226
 64	84.248	76.438	69.686	0452
 64	84.248	81.436	70.312	0111
 64	84.25	74.938	68.814	0564
 64	84.25	75.376	69.876	0142
 64	84.312	69.69	70.316	0661
 64	84.312	71.816	69.622	0379
 64	84.312	75.436	71.376	0708
 64	84.312	77.126	69.374	0239
 64	84.374	67.25	70.374	0665
 64	84.438	65.374	72.436	0461
 64	84.438	68.75	70.19	0502
 64	84.502	70.69	69.312	0191
 64	84.564	78.062	71.126	0128
 64	84.624	70.624	68.688	0047
 64	84.626	72.438	70.374	0847
