K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	FM	FMS	PT	SYNTH	ID
64	25.0	50.0	100.0	0.0	0.0	0.0	89.43	89.61	57.74	42.19	0022
64	25.0	50.0	100.0	0.0	0.0	0.0	89.31	89.73	58.63	43.75	0545
0	27.02	54.04	68.99	0.0	39.09	0.0	89.02	88.76	58.48	43.75	3033
64	61.6725	-20.47	52.02	72.59	50.85	71.23	78.7	86.37	80.73	82.81	3535
0	25.57	51.14	40.67	0.0	61.61	0.0	90.66	89.96	58.02	51.56	3028
64	35.05	36.96	24.28	8.21	82.78	24.93	86.72	92.67	81.99	82.81	2506
0	21.97	30.04	0.36	13.87	73.62	0.03	22.72	23.63	23.2	21.88	1048
64	49.8525	17.41	54.41	29.52	62.71	52.77	83.37	90.97	82.94	78.12	3007
0	25.8775	51.76	65.37	0.0	38.14	0.0	90.12	89.69	57.61	54.69	3547
0	24.055	48.11	80.55	0.0	15.67	0.0	90.1	90.52	58.79	48.44	0529
64	56.7325	-37.58	38.15	83.02	37.74	68.02	76.1	79.44	83.04	67.19	1089
64	39.9	18.58	44.58	34.18	53.8	27.04	83.9	93.05	83.78	79.69	3047
0	25.3075	50.62	91.02	0.0	10.21	0.0	89.69	89.77	59.1	50.0	3536
0	25.15	50.3	99.15	0.0	1.45	0.0	89.69	89.85	58.04	53.12	2033
0	27.0625	54.13	67.46	0.0	40.79	0.0	89.89	90.0	57.25	53.12	3541
64	55.87	-34.71	27.38	73.25	49.65	73.2	77.18	85.52	83.17	73.44	2074
64	51.9125	-32.49	18.08	52.61	53.25	83.71	70.45	85.08	80.24	73.44	0577
64	25.1325	50.27	99.38	0.0	1.15	0.0	90.12	89.87	57.12	68.75	2531
0	24.985	49.97	98.24	0.0	1.7	0.0	89.23	89.21	58.48	65.62	1538
64	25.0	50.0	100.0	0.0	0.0	0.0	89.37	89.89	58.74	56.25	1054
0	30.365	46.31	54.34	5.11	52.7	9.31	86.09	93.56	82.68	67.19	3062
0	25.0	50.0	100.0	0.0	0.0	0.0	89.45	89.83	57.17	39.06	0537
64	49.525	-1.0	65.47	48.95	32.58	51.1	87.89	90.6	83.12	79.69	1012
0	42.7825	20.07	62.24	27.75	43.39	37.75	86.92	83.05	80.96	68.75	0080
0	45.87	-68.05	5.22	82.35	18.47	77.44	48.72	83.98	83.63	71.88	3506
64	25.0275	50.06	99.51	0.0	0.6	0.0	89.69	89.67	57.51	34.38	3577
64	25.5475	51.09	96.18	0.0	6.01	0.0	89.25	89.47	59.33	50.0	1083
64	53.955	-18.77	30.78	69.37	58.36	57.31	81.25	88.52	85.35	71.88	3005
64	51.835	-8.85	31.66	55.38	63.16	57.14	83.03	92.3	85.27	84.38	1024
64	58.11	-27.12	65.18	68.81	23.92	74.53	81.9	88.56	83.94	84.38	3035
64	51.5675	-13.47	41.32	44.17	48.35	72.43	76.53	89.59	83.17	76.56	0581
0	35.7875	24.24	43.02	15.09	52.8	32.24	80.66	89.49	81.52	76.56	1529
0	38.4825	25.17	51.83	39.18	50.3	12.62	83.8	87.99	82.7	78.12	2041
64	38.025	27.42	61.68	24.2	41.79	24.43	85.89	87.93	80.63	81.25	2039
64	61.7025	-29.12	39.98	69.59	54.3	82.94	79.24	87.44	83.89	73.44	2065
0	46.4775	-37.86	15.31	53.61	39.79	77.2	71.89	87.14	86.14	79.69	3534
64	60.12	-42.95	38.35	84.02	38.94	79.17	77.99	81.69	84.83	75.0	2561
64	25.66	51.32	94.68	0.0	7.96	0.0	89.65	89.73	57.53	60.94	0086
64	25.22	21.58	0.2	28.19	71.82	0.67	15.51	15.98	17.06	15.62	0048
64	25.525	51.05	97.65	0.0	4.45	0.0	89.45	89.77	57.43	64.06	0523
64	54.965	-9.2	50.03	48.5	50.7	70.63	81.19	89.02	82.27	79.69	3521
64	25.155	50.31	93.31	0.0	7.31	0.0	89.45	90.08	57.58	57.81	1045
64	25.645	51.29	91.22	0.0	11.36	0.0	89.29	89.0	57.45	46.88	0064
0	41.885	8.54	43.86	34.74	48.45	40.49	77.14	87.73	82.42	81.25	0033
64	57.36	-28.18	46.9	74.14	39.64	68.76	78.9	86.41	83.19	75.0	1503
64	26.93	43.67	29.31	2.11	68.22	8.08	88.42	92.81	81.73	81.25	0571
0	25.5925	51.19	97.72	0.0	4.65	0.0	88.7	87.77	59.23	43.75	3555
0	37.9675	-22.19	23.27	41.95	30.48	56.17	67.31	90.08	82.88	71.88	0087
64	24.36	48.72	83.68	0.0	13.76	0.0	89.47	89.63	58.15	65.62	3002
64	26.57	53.14	83.36	0.0	22.92	0.0	89.61	89.92	57.25	42.19	3009
64	55.725	-19.64	40.31	71.14	51.5	59.95	79.47	86.13	81.19	68.75	0034
0	25.6725	36.85	1.21	1.11	86.99	13.38	19.64	18.79	29.25	25.0	1031
64	37.9825	39.66	51.86	6.1	63.76	30.21	89.31	92.89	84.42	81.25	2571
0	26.415	52.83	79.08	0.0	26.58	0.0	89.04	89.37	59.2	53.12	3562
0	25.2	50.4	99.35	0.0	1.45	0.0	89.15	89.02	57.94	56.25	0026
64	56.95	-2.46	50.88	52.61	60.56	63.75	81.57	89.31	83.29	78.12	1524
64	45.865	0.85	37.27	48.06	55.31	42.82	83.33	88.9	82.81	78.12	3068
64	59.32	-28.95	23.07	72.92	66.62	74.67	80.05	88.54	84.96	76.56	3075
64	44.9525	11.92	25.1	31.52	76.73	46.46	80.4	86.51	81.32	59.38	0500
64	25.075	50.15	93.54	0.0	6.76	0.0	88.8	89.57	57.35	46.88	3574
64	56.2625	-42.72	39.33	76.47	30.48	78.77	75.37	81.86	83.09	70.31	3524
64	25.1775	50.36	98.01	0.0	2.7	0.0	89.59	89.39	58.51	64.06	2501
64	33.64	43.99	47.16	11.54	64.11	11.75	89.11	91.76	81.99	70.31	3576
