K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	ADVFM_under	FM	FMS	PT	SYNTH	ID
64	19.956	33.26	95.85	0.0	2.32	0.0	1.61	88.72	88.72	57.27	28.12	0817
64	20.56	34.27	86.69	0.0	14.42	0.0	1.69	88.94	88.56	57.44	56.25	0555
0	24.98	41.63	69.73	0.0	8.91	0.0	46.26	88.89	88.42	57.86	48.44	0552
0	37.348	-9.14	28.86	38.48	33.5	47.19	38.71	77.33	89.4	79.94	73.44	0298
64	22.724	37.87	78.0	0.0	19.34	0.0	16.28	88.29	88.62	57.5	50.0	0810
64	41.922	-25.94	41.99	57.89	21.93	57.08	30.72	82.61	82.5	68.27	54.69	0325
0	22.666	37.78	42.7	0.0	39.33	0.0	31.3	88.84	89.43	58.14	64.06	0037
64	22.242	37.07	44.91	0.0	20.85	0.0	45.45	89.38	88.97	58.79	51.56	0071
0	26.828	36.66	47.17	1.64	24.96	8.02	52.35	87.96	87.62	67.66	53.12	0759
0	22.244	32.91	68.0	2.46	13.29	2.54	24.93	87.55	85.7	67.04	65.62	0312
64	19.948	33.25	96.02	0.0	0.05	0.0	3.67	88.24	88.92	58.45	39.06	0773
0	40.956	-16.16	45.05	57.43	32.69	43.88	25.73	79.57	83.77	79.74	65.62	0571
0	36.358	-10.48	19.22	40.94	25.01	44.35	52.27	74.31	88.59	81.98	84.38	0296
64	23.53	7.83	63.78	37.66	0.59	0.0	15.62	66.05	66.51	58.0	46.88	0785
0	41.584	-20.57	22.56	58.83	41.87	49.03	35.63	81.59	84.58	72.5	60.94	0305
0	22.236	37.06	8.59	0.0	54.35	0.0	48.24	88.44	88.41	58.25	53.12	0566
64	38.246	-10.25	12.32	24.91	10.21	63.88	79.91	73.61	85.68	71.74	59.38	0048
64	47.48	-30.3	25.41	54.97	15.13	76.35	65.54	84.53	86.15	76.39	67.19	0513
0	21.656	36.09	71.24	0.0	19.88	0.0	17.16	88.74	88.61	57.75	64.06	0254
0	22.118	36.86	81.94	0.0	7.02	0.0	21.63	88.77	88.71	57.78	53.12	0572
0	30.218	19.06	4.36	37.31	69.64	0.26	39.52	86.39	79.0	69.45	40.62	0778
0	29.758	0.23	44.74	36.84	39.38	22.4	5.43	85.95	86.16	80.58	53.12	0263
0	24.03	32.0	85.74	0.94	6.27	8.72	18.48	88.14	87.35	69.17	57.81	0510
64	25.08	35.35	40.83	2.92	44.79	4.82	32.04	87.86	88.14	67.1	71.88	0783
0	25.156	40.33	24.92	1.29	34.2	0.63	64.74	88.59	88.39	70.51	70.31	0050
64	21.788	36.31	55.72	0.0	24.04	0.0	29.18	88.38	88.38	58.2	43.75	0788
0	46.244	-39.54	19.85	66.2	44.3	73.74	27.13	72.75	79.64	73.25	62.5	0259
0	20.922	34.87	44.03	0.0	24.58	0.0	36.0	88.41	88.14	58.23	48.44	0039
64	22.99	37.67	38.47	0.0	6.43	0.77	69.28	88.97	88.82	67.71	73.44	0542
64	22.642	37.73	63.89	0.0	18.75	0.0	30.57	88.57	88.57	58.23	60.94	0532
0	31.634	18.77	41.18	26.43	17.23	14.31	59.02	85.47	84.87	66.12	60.94	0020
64	23.744	39.57	59.38	0.0	14.69	0.0	44.65	87.8	88.42	55.26	62.5	0307
64	21.912	36.52	56.56	0.0	13.78	0.0	39.22	88.72	88.36	58.48	53.12	0815
64	25.164	41.94	32.45	0.0	33.33	0.0	60.04	88.85	88.51	57.27	50.0	0019
64	21.76	36.27	10.63	0.0	34.68	0.0	63.49	88.49	88.09	56.69	34.38	0543
64	20.652	34.42	38.65	0.0	5.08	0.0	59.53	30.65	30.09	0.03	20.31	0319
64	21.064	35.11	7.18	0.0	6.86	0.0	91.28	85.9	85.85	57.75	32.81	0536
0	33.466	9.71	33.72	24.68	49.22	30.6	29.11	85.35	83.03	69.25	59.38	0051
0	36.408	6.14	26.15	26.43	65.59	39.02	24.85	83.5	84.59	72.66	73.44	0321
64	26.54	29.86	40.27	0.0	36.03	17.25	39.15	87.7	88.14	68.69	68.75	0756
64	31.52	39.97	38.33	9.01	32.2	6.07	71.99	88.28	91.46	79.69	79.69	0794
0	40.642	-37.84	21.05	70.53	38.9	56.16	16.57	65.26	81.75	76.75	70.31	0570
64	47.082	-41.59	20.94	79.42	14.96	64.66	55.43	78.07	89.45	82.85	73.44	0015
64	21.602	36.0	76.28	0.0	27.77	0.0	3.96	88.13	88.29	58.17	40.62	0052
64	25.096	41.83	32.17	0.0	21.83	0.0	71.48	88.64	89.2	59.12	53.12	0308
0	22.94	38.23	30.27	0.0	19.99	0.0	64.44	88.39	88.34	57.95	54.69	0556
0	20.102	33.5	99.58	0.0	0.27	0.0	0.66	83.93	83.98	58.23	37.5	0564
0	23.926	39.88	68.43	0.0	10.8	0.0	40.4	88.84	88.69	59.26	60.94	0322
0	25.076	41.79	54.03	0.0	17.61	0.0	53.74	88.57	88.47	58.79	57.81	0000
64	37.956	2.65	14.75	17.31	33.82	55.42	68.48	84.92	89.38	79.41	75.0	0515
0	22.97	37.85	61.63	0.23	16.48	0.29	36.22	88.23	88.57	66.96	68.75	0825
64	21.516	35.86	30.27	0.0	51.65	0.0	25.66	88.56	87.62	58.67	43.75	0530
