K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	ADVFM_under	FM	FMS	PT	SYNTH	ID
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.39	88.46	58.79	39.06	1074
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.17	89.05	59.04	50.0	2583
64	78.682	-15.27	75.43	82.46	63.7	93.23	78.59	72.49	83.27	72.19	60.94	1069
0	60.04	99.58	100.0	0.58	99.62	0.0	100.0	88.9	89.32	69.08	68.75	2125
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.22	89.37	58.7	62.5	1875
64	68.658	-34.96	70.68	87.25	42.68	92.02	50.66	65.16	81.27	76.02	57.81	1326
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.15	88.69	56.66	46.88	1864
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.25	88.09	58.39	60.94	1624
64	31.266	22.09	64.8	36.02	6.54	0.0	48.97	45.29	45.89	12.7	39.06	1506
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.51	88.94	56.86	34.38	2564
64	72.48	-13.36	67.65	76.14	62.13	84.85	71.63	68.05	81.8	69.22	48.44	2534
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.59	88.89	59.32	39.06	1600
0	69.082	-21.42	58.36	76.26	51.7	87.61	71.48	70.05	82.56	83.04	64.06	1816
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.57	88.51	57.39	53.12	1040
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.99	88.74	58.31	57.81	2104
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.0	88.82	58.79	54.69	2608
0	58.464	97.05	99.93	0.47	93.9	0.0	98.02	85.44	85.77	58.23	39.06	1842
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.77	88.74	57.92	54.69	1846
0	70.032	46.77	89.62	38.48	85.47	45.46	91.13	83.67	90.39	83.91	76.56	1514
0	63.592	-23.89	56.85	82.92	43.38	72.93	61.88	70.39	78.85	82.71	70.31	2570
0	60.896	96.9	99.51	5.03	99.68	0.48	99.78	88.09	88.61	66.84	79.69	1841
0	73.794	48.76	94.09	36.37	92.33	52.7	93.48	85.14	80.85	67.49	48.44	2036
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.77	89.07	59.82	64.06	1334
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.53	89.04	58.48	45.31	1867
0	63.126	90.39	98.66	17.78	99.41	0.0	99.78	88.19	87.91	68.52	53.12	2594
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.51	88.56	57.72	45.31	2283
0	29.108	16.29	80.32	36.02	17.83	2.65	8.72	50.33	50.15	58.79	31.25	2552
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.67	88.67	57.64	53.12	1274
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	56.36	57.28	5.85	31.25	1588
64	59.78	99.63	100.0	0.0	98.97	0.0	99.93	86.03	85.22	57.3	42.19	1342
64	83.206	-8.75	83.84	89.24	70.45	87.68	84.82	79.97	89.5	80.5	78.12	2048
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.82	89.32	58.53	64.06	2321
64	75.312	-19.31	68.67	86.67	56.89	87.13	77.2	75.56	83.26	80.81	73.44	1027
